,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL],Glu_OG [uL],Tween_OG [uL],Glu_Prod [uL],Tween_Prod [uL],pH
0,Xylose,2,51,289,41,18,341,12,6.00
1,Succinate,115,132,178,246,26,176,2,6.50
2,D-Arabinose,6,116,239,135,11,277,18,6.00
3,Trehalose,21,8,141,109,37,187,49,6.00
4,Galactose,177,61,170,14,13,349,14,5.75
5,Fructose,22,373,64,158,23,249,59,6.50
6,Sucrose,340,69,233,436,39,281,5,6.50
7,Ribose,158,85,143,234,50,274,44,6.00
8,Rhamnose,282,73,100,319,41,238,22,6.50
9,Galactose,487,157,247,49,10,356,16,6.00
10,Sucrose,387,294,265,33,35,590,27,5.75