,Carbon_Type,Conc_Carbon [uL],Gly_OG [uL],Met_Prod [uL]
0,Ribose,230,362,97
1,Rhamnose,275,16,25
2,Sucrose,373,50,208
3,Xylitol,54,293,63
4,Xylitol,160,232,130
5,D-Arabinose,124,131,289
6,Xylose,45,276,31
7,Xylose,27,315,216
8,Glucose,94,260,4
9,Glycerol ,24,36,150
10,Sucrose,138,66,71
11,Trehalose,254,19,179
12,Sucrose,152,342,250
13,Succinate,87,344,277
14,Succinate,312,161,50
15,D-Arabinose,270,107,113
16,Glucose,13,82,90
17,Mannitol,499,173,271
18,Glucose,119,185,143
19,Mannitol,536,301,165
20,Mannose,149,217,183
21,Fructose,6,208,245
22,Trehalose,59,126,223